# O3400-0m/s (Up to date)
# 1783 data points written for 2 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (32.5 m/s)
#
# Time (s),Drag coefficient (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,1.609
0.02,0.949
0.03,0.778
# Event LIFTOFF occurred at t=0.04 seconds
0.04,0.69
0.05,0.638
0.06,0.605
0.07,0.582
0.08,0.564
0.09,0.551
0.1,0.539
0.11,0.53
0.12,0.522
0.13,0.514
0.14,0.508
0.15,0.502
0.16,0.497
0.17,0.493
0.18,0.489
0.19,0.485
0.2,0.481
0.21,0.478
0.22,0.475
0.23,0.472
0.24,0.469
0.25,0.467
0.26,0.464
0.27,0.462
0.28,0.46
0.29,0.458
0.3,0.456
0.31,0.454
0.32,0.452
0.33,0.451
0.34,0.449
0.35,0.448
0.36,0.448
0.37,0.448
0.38,0.448
0.39,0.449
0.4,0.449
0.41,0.449
0.42,0.449
0.43,0.449
0.44,0.449
# Event LAUNCHROD occurred at t=0.45 seconds
0.45,0.45
0.465,0.45
0.488,0.45
0.521,0.451
0.571,0.452
0.621,0.453
0.671,0.454
0.721,0.455
0.771,0.457
0.821,0.458
0.871,0.46
0.921,0.462
0.971,0.464
1.021,0.466
1.071,0.468
1.121,0.47
1.171,0.473
1.221,0.475
1.271,0.478
1.321,0.481
1.371,0.484
1.421,0.487
1.471,0.491
1.521,0.494
1.571,0.498
1.621,0.502
1.671,0.506
1.721,0.511
1.771,0.516
1.821,0.521
1.871,0.526
1.921,0.533
1.971,0.539
2.021,0.547
2.071,0.556
2.121,0.564
2.171,0.566
2.221,0.569
2.271,0.575
2.321,0.58
2.371,0.58
2.421,0.58
2.471,0.578
2.521,0.574
2.571,0.57
2.621,0.566
2.671,0.562
2.721,0.558
2.771,0.554
2.821,0.549
2.871,0.545
2.921,0.541
2.971,0.537
3.021,0.533
3.071,0.529
3.121,0.526
3.171,0.522
3.221,0.518
3.271,0.514
3.321,0.51
3.371,0.505
3.421,0.501
3.471,0.497
3.521,0.494
3.571,0.49
3.621,0.486
3.671,0.482
3.721,0.479
3.771,0.475
3.821,0.472
3.871,0.468
3.921,0.465
3.971,0.463
4.021,0.46
4.071,0.458
4.121,0.455
4.171,0.453
4.221,0.451
4.271,0.45
4.321,0.448
4.371,0.446
4.421,0.444
4.471,0.443
4.521,0.441
4.571,0.44
4.621,0.438
4.671,0.437
4.721,0.436
4.771,0.436
4.821,0.435
4.871,0.434
4.921,0.434
4.971,0.434
5.021,0.433
5.071,0.433
5.121,0.433
5.171,0.433
5.221,0.433
5.271,0.433
5.321,0.433
5.371,0.433
5.421,0.433
5.471,0.434
5.521,0.434
5.571,0.435
5.621,0.435
5.671,0.436
5.721,0.436
5.771,0.437
5.821,0.438
5.871,0.439
5.921,0.439
5.971,0.44
6.021,0.441
6.071,0.442
6.121,0.443
6.171,0.444
6.221,0.446
6.271,0.447
6.321,0.448
# Event BURNOUT occurred at t=6.322 seconds
# Event EJECTION_CHARGE occurred at t=6.324 seconds
6.324,0.448
6.327,0.448
6.333,0.449
6.342,0.449
6.354,0.449
6.373,0.45
6.402,0.451
6.444,0.452
6.494,0.453
6.544,0.454
6.594,0.456
6.644,0.457
6.694,0.459
6.744,0.46
6.794,0.461
6.844,0.463
6.894,0.464
6.944,0.465
6.994,0.467
7.044,0.468
7.094,0.47
7.144,0.471
7.194,0.472
7.244,0.474
7.294,0.475
7.344,0.476
7.394,0.478
7.444,0.479
7.494,0.48
7.544,0.482
7.594,0.483
7.644,0.484
7.694,0.485
7.744,0.486
7.794,0.488
7.844,0.489
7.894,0.49
7.944,0.491
7.994,0.492
8.044,0.493
8.094,0.495
8.144,0.496
8.194,0.497
8.244,0.498
8.294,0.499
8.344,0.5
8.394,0.502
8.444,0.503
8.494,0.504
8.544,0.505
8.594,0.506
8.644,0.507
8.694,0.508
8.744,0.51
8.794,0.511
8.844,0.512
8.894,0.513
8.944,0.514
8.994,0.515
9.044,0.516
9.094,0.518
9.144,0.519
9.194,0.52
9.244,0.521
9.294,0.522
9.344,0.522
9.394,0.523
9.444,0.524
9.494,0.525
9.544,0.526
9.594,0.527
9.644,0.528
9.694,0.529
9.744,0.529
9.794,0.53
9.844,0.531
9.894,0.532
9.944,0.533
9.994,0.534
10.044,0.535
10.094,0.535
10.144,0.536
10.194,0.537
10.244,0.538
10.294,0.539
10.344,0.54
10.394,0.541
10.444,0.541
10.494,0.542
10.544,0.543
10.594,0.544
10.644,0.545
10.694,0.546
10.744,0.547
10.794,0.548
10.844,0.548
10.894,0.549
10.944,0.55
10.994,0.551
11.044,0.552
11.094,0.553
11.144,0.554
11.194,0.554
11.244,0.555
11.294,0.556
11.344,0.557
11.394,0.557
11.444,0.558
11.494,0.559
11.544,0.56
11.594,0.56
11.644,0.561
11.694,0.562
11.744,0.563
11.794,0.563
11.844,0.564
11.894,0.565
11.944,0.566
11.994,0.566
12.044,0.567
12.094,0.568
12.144,0.569
12.194,0.569
12.244,0.57
12.294,0.571
12.344,0.572
12.394,0.572
12.444,0.573
12.494,0.574
12.544,0.574
12.594,0.575
12.644,0.575
12.694,0.576
12.744,0.576
12.794,0.577
12.844,0.577
12.894,0.578
12.944,0.578
12.994,0.579
13.044,0.58
13.094,0.58
13.144,0.58
13.194,0.58
13.244,0.58
13.294,0.58
13.344,0.58
13.394,0.58
13.444,0.58
13.494,0.58
13.544,0.58
13.594,0.58
13.644,0.58
13.694,0.58
13.744,0.58
13.794,0.58
13.844,0.58
13.894,0.579
13.944,0.578
13.994,0.577
14.044,0.576
14.094,0.576
14.144,0.575
14.194,0.574
14.244,0.573
14.294,0.573
14.344,0.572
14.394,0.571
14.444,0.57
14.494,0.57
14.544,0.569
14.594,0.568
14.644,0.568
14.694,0.568
14.744,0.567
14.794,0.567
14.844,0.567
14.894,0.566
14.944,0.566
14.994,0.566
15.044,0.565
15.094,0.565
15.144,0.565
15.194,0.564
15.244,0.564
15.294,0.564
15.344,0.563
15.394,0.563
15.444,0.562
15.494,0.561
15.544,0.559
15.594,0.558
15.644,0.557
15.694,0.556
15.744,0.555
15.794,0.554
15.844,0.552
15.894,0.551
15.944,0.55
15.994,0.549
16.044,0.548
16.094,0.547
16.144,0.546
16.194,0.546
16.244,0.545
16.294,0.544
16.344,0.543
16.394,0.542
16.444,0.541
16.494,0.54
16.544,0.539
16.594,0.539
16.644,0.538
16.694,0.537
16.744,0.536
16.794,0.536
16.844,0.535
16.894,0.534
16.944,0.533
16.994,0.533
17.044,0.532
17.094,0.531
17.144,0.531
17.194,0.53
17.244,0.529
17.294,0.529
